title,address,district,posting_date,price,area,direction,bedrooms,toilets,floors,width_meter,legal,interior,entrance_width
"Xem nhà 24/7: Cần ra hàng quỹ căn 2-3n trực tiếp CĐT, view đẹp/full chiết khấu + quà tặng vàng 9999","Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Hoàng Mai,05/12/2024,55 triệu/m²,75 m²,Nam,2 phòng,2 phòng,0,0,Hợp đồng mua bán,0,0
"Sở hữu căn hộ đẹp tại Vinhomes OceanPark Không gian sống đẳng cấp, giá hấp dẫn đón Tết! chuẩn 100%","The Sapphire 1 - Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,14/12/2024,"1,8 tỷ",36 m²,0,1 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0
"Bán biệt thự view đẹp tại Vinhomes Cổ Loa, 15,92 tỷ, 62,5m2, Đông Anh, Hà Nội","Vinhomes Cổ Loa, Cổ Loa, Đông Hội, Đông Anh, Hà Nội",Đông Anh,14/12/2024,"15,92 tỷ","62,5 m²",Tây - Bắc,0,0,5 tầng,5 m,Hợp đồng mua bán,Không nội thất,13 m
"Chính chủ bán căn hộ 83m2, 3PN 2WC, KĐT Xa La, Hà Đông, nội thất thiết kế và sửa lại hoàn toàn","Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",Hà Đông,12/12/2024,"3,75 tỷ",83 m²,Đông - Nam,3 phòng,2 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0
"Siêu hot bán Biệt Thự 54m2, 6PN, 4WC GIÁ NHƯ CHUNG CƯ TẠI VINHOMES OCEAN PARK 3","The Crown - Vinhomes Ocean Park 3, Nghĩa Trụ, Văn Giang, Hưng Yên",Văn Giang,14/12/2024,"7,2 tỷ",54 m²,Đông - Nam,6 phòng,4 phòng,5 tầng,"4,5 m",Hợp đồng mua bán,Không nội thất,13 m
"Cđt nam cường mở bán dãy s01 đối diện chung cư, mặt đường 30m - vay miễn lãi 3 năm, chiết khấu 12%","Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,05/12/2024,32 tỷ,"212,5 m²",Đông - Bắc,5 phòng,6 phòng,4 tầng,9 m,Sổ đỏ/ Sổ hồng,Không nội thất,30 m
"Chính chủ trên sổ đỏ bán gấp Căn S4, 53m Vinhome Smart City, 3ty290, Đông Nam view công viên thoáng","Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,14/12/2024,"3,29 tỷ",53 m²,Đông - Nam,2 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0
"CĐT Nam Cường mở bán đợt 1 dãy biệt thự chân chung cư, đường 30m. Chiết khấu 14%.Miễn gốc lãi 3 năm","Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,14/12/2024,139 triệu/m²,"212,5 m²",0,4 phòng,5 phòng,4 tầng,"8,5 m",Hợp đồng mua bán,0,30 m
"Full bảng hàng CĐT & chuyển nhượng từ 2-3-4 PN, nhận nhà ngay tại D.Le Roi Soleil, giá từ 9.5 tỷ","Dự án D’. Le Roi Soleil , 59 Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",Tây Hồ,14/12/2024,"13,76 tỷ",146 m²,0,3 phòng,2 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0
"Đất đấu giá, mặt đường Quốc lộ 12B Yên Thuỷ Hoà Bình, sẵn sổ, trả trước 1,2 tỷ","Đường Quốc Lộ 12B, Xã Phú Lai, Yên Thủy, Hòa Bình",Yên Thủy,12/12/2024,"1,89 tỷ",168 m²,0,0,0,0,6 m,Sổ đỏ/ Sổ hồng,0,12 m
"Quỹ căn stu,1-3PN chính chủ view đẹp, pháp lý rõ ràng, giá rẻ nhất, cắt lỗ tại Vinhomes Oceanpark","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,05/12/2024,"2,65 tỷ",59 m²,0,2 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng.,0,0
"Bán đất tại Nhân Lễ, Đặng Xá, Gia Lâm, Hà Nội, 80 triệu / m2, 65.5 m2 - Chính chủ","Đường Nhân Lễ, Xã Đặng Xá, Gia Lâm, Hà Nội",Gia Lâm,14/12/2024,80 triệu/m²,"65,5 m²",Nam,0,0,0,5 m,Sổ đỏ/ Sổ hồng,0,6 m
"Quỹ căn hộ Studio, 1N, 2N, 3N chính chủ gửi bán pháp lý rõ ràng, giá cắt lỗ tại Ocean Park","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,11/12/2024,"2,2 tỷ",43 m²,Tây,1 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ.,0
"Full quỹ căn 2-3-4N CĐT, Chuyển nhượng & cho thuê, giá tốt nhất tại D.Le Roi Soleil Quảng An","D’. Le Roi Soleil , Xuân Diệu, Quảng An, Tây Hồ, Hà Nội",Tây Hồ,14/12/2024,"11,6 tỷ",111 m²,0,0,0,0,0,0,0,0
"CĐT mở bán tòa đẹp nhất The Paris OceanPark - View hồ San Hô, chỉ đóng 10% ký trực tiếp CĐT CK 12%","Dự án The Paris - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,12/12/2024,Thỏa thuận,43 m²,Tây - Bắc,1 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Cơ bản,0
"Imperia Cổ Loa quỹ căn Stu -1PN-3PN giá chỉ từ 80tr/m2 view hồ 3 hầm để xe, miễn lãi 0% đến T8/2028","Dự án Imperia Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,11/12/2024,Thỏa thuận,68 m²,0,2 phòng,2 phòng,0,0,Sổ đỏ lâu dài,Full nội thất cao cấp nhập khẩu châu Âu,0
"Trực tiếp CĐT bán BT Ciputra có hầm đã có sổ, nhận nhà ngay giá chỉ từ 348tr/m2. Vay 0% LS 12 tháng","Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",Tây Hồ,14/12/2024,"48,4 tỷ",150 m²,Đông - Nam,5 phòng,4 phòng,4 tầng,7 m,Sổ đỏ/ Sổ hồng,0,"13,5 m"
"Độc quyền quỹ hàng tòa đẹp nhất The Paris Ocean Park 1 view sông San Hô - Vốn tự có 10%, giảm 12%","Dự án The Paris - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,14/12/2024,Thỏa thuận,64 m²,Đông - Nam,2 phòng,2 phòng,0,0,Hợp đồng mua bán,Đầy đủ,0
"Quỹ 500 căn hộ chính chủ gửi bán, pháp lý rõ ràng, giá rẻ nhất thị trường tại Vinhomes Ocean Park","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,07/12/2024,"2,55 tỷ",55 m²,Tây - Bắc,2 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ.,0
Đất 3 mặt thoáng duy nhất tại Mai Lâm - giáp Vin Cổ Loa,"Xã Mai Lâm, Đông Anh, Hà Nội",Đông Anh,11/12/2024,60 triệu,"95,2 m²",0,0,0,0,10 m,Sổ đỏ/ Sổ hồng,0,3 m
"Tổng hợp 5 căn giá tốt TN3-2x dt 75m giá 21 tỷ, AD3-2xdt 80m giá 19 tỷ, AD3-34 dt 63m giá 14,7 tỷ","Vinhomes Cổ Loa, Cổ Loa, Đông Hội, Đông Anh, Hà Nội",Đông Anh,14/12/2024,19 tỷ,80 m²,0,0,0,0,0,0,0,0
Bảng giá căn vị trí đẹp và rẻ nhất thị trường. Chiết khấu đến 22% chọn căn theo yêu cầu khách hàng,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,11/12/2024,24 tỷ,75 m²,0,0,0,0,0,0,0,0
